Company_1_ID,Company_1_Name,Company_1_Domain,Company_1_City,Company_2_ID,Company_2_Name,Company_2_Domain,Company_2_City,Match_Type,Confidence_Score,Matching_Fields,Explanation,Survivor_Recommendation,Recommended_Action
17306174848,ChristianaCare,christianacare.org,Wilmington,42692459843,ChristianaCare Cecil County,uhcc.com,Elkton,deterministic_high,0.97,domain,Shared domain: uhcc.com,17306174848,auto_merge
15040379755,Boca Raton Regional,brrh.com,Boca Raton,15275567933,Baptist Florida,baptisthealth.net,Miami,deterministic_high,0.97,domain,Shared domain: brrh.com,15275567933,auto_merge
18466987528,Quebec Ministry,msss.gouv.qc.ca,Quebec,8112091921,Centre de services scolaire de la Rivière-du-Nord (CHUM),ssss.gouv.qc.ca,Quebec,deterministic_high,0.95,linkedin_url,Exact LinkedIn URL match: linkedin.com/company/gouvernement-du-quebec-carriere,8112091921,auto_merge
8112091921,Centre de services scolaire de la Rivière-du-Nord (CHUM),ssss.gouv.qc.ca,Quebec,8778517333,Quebec Relations Ministry,mri.gouv.qc.ca,Quebec,deterministic_high,0.95,linkedin_url,Exact LinkedIn URL match: linkedin.com/company/gouvernement-du-quebec-carriere,8112091921,auto_merge
8112091921,Centre de services scolaire de la Rivière-du-Nord (CHUM),ssss.gouv.qc.ca,Quebec,8691865981,Quebec Economy Ministry staff,economie.gouv.qc.ca,Quebec,deterministic_high,0.95,linkedin_url,Exact LinkedIn URL match: linkedin.com/company/gouvernement-du-quebec-carriere,8112091921,auto_merge
18466987528,Quebec Ministry,msss.gouv.qc.ca,Quebec,8778517333,Quebec Relations Ministry,mri.gouv.qc.ca,Quebec,deterministic_high,0.95,linkedin_url,Exact LinkedIn URL match: linkedin.com/company/gouvernement-du-quebec-carriere,8778517333,auto_merge
18466987528,Quebec Ministry,msss.gouv.qc.ca,Quebec,8691865981,Quebec Economy Ministry staff,economie.gouv.qc.ca,Quebec,deterministic_high,0.95,linkedin_url,Exact LinkedIn URL match: linkedin.com/company/gouvernement-du-quebec-carriere,8691865981,auto_merge
8691865981,Quebec Economy Ministry staff,economie.gouv.qc.ca,Quebec,8778517333,Quebec Relations Ministry,mri.gouv.qc.ca,Quebec,deterministic_high,0.95,linkedin_url,Exact LinkedIn URL match: linkedin.com/company/gouvernement-du-quebec-carriere,8778517333,auto_merge
10884686683,Orlando,orlandohealth.com,Orlando,11064298143,orlandohealthventures.com,orlandohealthventures.com,Orlando,deterministic_high,0.95,linkedin_url,Exact LinkedIn URL match: linkedin.com/company/orlando-health,10884686683,auto_merge
8108288912,Jewish General (Mcgill University),jgh.mcgill.ca,Montreal,8444133176,McGill University Centre (MUHC),muhc.mcgill.ca,Montreal,deterministic_high,0.95,linkedin_url,Exact LinkedIn URL match: linkedin.com/school/desautelsmcgill,8444133176,auto_merge
10915344977,Marriott,marriott.com,Bethesda,10916752191,Marriot Springhill Suites,marriot.com,Lexington,deterministic_high,0.95,linkedin_url,Exact LinkedIn URL match: linkedin.com/company/marriott-international,10916752191,auto_merge
8776931096,Harvard University,harvard.edu,Cambridge,8777343852,Beth Israel Deaconess (BIDMC) (Harvard University),bidmc.harvard.edu,Cambridge,deterministic_high,0.95,linkedin_url,Exact LinkedIn URL match: linkedin.com/school/harvard-medical-school,8777343852,auto_merge
8776931096,Harvard University,harvard.edu,Cambridge,8913784121,Boston Children's,childrens.harvard.edu,Cambridge,deterministic_high,0.95,linkedin_url,Exact LinkedIn URL match: linkedin.com/school/harvard-medical-school,8913784121,auto_merge
8777343852,Beth Israel Deaconess (BIDMC) (Harvard University),bidmc.harvard.edu,Cambridge,8913784121,Boston Children's,childrens.harvard.edu,Cambridge,deterministic_high,0.95,linkedin_url,Exact LinkedIn URL match: linkedin.com/school/harvard-medical-school,8913784121,auto_merge
15507135114,AdventHealth,adventhealth.com,Altamonte Springs,15507237436,AdventHealth Orlando,flhosp.org,Orlando,deterministic_high,0.95,linkedin_url,Exact LinkedIn URL match: linkedin.com/company/adventhealth,15507135114,auto_merge
38502886036,Optum Ventures,optumventures.com,Boston,45872027978,Optum,optum.com,Eden Prairie,deterministic_medium,0.88,"phone, name",Same phone 9529361300 + similar name (87%),45872027978,review_merge
15706735115,Kaiser Permanente,kp.org,Oakland,42848511667,Kaiser Permanente Washington Research Institute,kpwashingtonresearch.org,Seattle,deterministic_medium,0.88,"phone, name",Same phone 5102715940 + similar name (87%),15706735115,review_merge
8777438329,Indiana University,iu.edu,Indianapolis,9493824569,Indiana University–Purdue University Indianapolis,iupui.edu,Indianapolis,deterministic_medium,0.88,"phone, name",Same phone 3172744591 + similar name (87%),9493824569,review_merge
10248286235,Ascension,ascension.org,Clayton,15689899845,Ascension Ventures,ascensionventures.org,St. Louis,deterministic_medium,0.88,"phone, name",Same phone 3147338000 + similar name (90%),10248286235,review_merge
17745665834,Emory,emoryhealthcare.org,Atlanta,22729240872,Emory University,emory.edu,Atlanta,probabilistic_medium,0.755,"name, city, state",Medium similarity match (score: 0.755),17745665834,manual_review
30418042466,UVA,uvahealth.com,Charlottesville,50571057592,UVA,uvahealth.org,Charlottesville,probabilistic_high,0.848,"name, city, state, industry",High similarity match (score: 0.848),50571057592,review_merge
14749846630,Duke University,duke.edu,Durham,43212395276,Duke,dukehealth.org,Durham,probabilistic_medium,0.766,"name, city, state",Medium similarity match (score: 0.766),14749846630,manual_review
36898059540,Mercy,mercyhealth.com,Grand Rapids,50834878753,Mercy,northernlighthealth.org,Portland,probabilistic_medium,0.727,"name, industry",Medium similarity match (score: 0.727),36898059540,manual_review
