Record ID,Company name,Company Domain Name,Website URL,LinkedIn Company Page,Phone Number,Street Address,City,State/Region,Postal Code,Country/Region,Industry,Number of Employees,Lifecycle Stage,Company owner,Last Activity Date,Create Date,Number of Associated Contacts,Number of Associated Deals,Lead Status,Number of Form Submissions,Recent Conversion Date,First Conversion,Additional Domains
49782647883,Wyandot Memorial Hospital,wyandotmemorial.org,wyandotmemorial.org,,,,,,,,,,Contact,,,2026-01-26 18:09,0,,New,,,,
8621989789,Wormhole Capital,wormholecap.com,wormholecap.com,https://linkedin.com/company/wormhole-capital,,,,,,,Venture Capital & Private Equity,5,,,2022-06-26 16:08,2022-05-06 22:24,1,,,0,,,
10283337074,Workable,workable.com,workable.com,https://linkedin.com/company/workable-hr,18579909675,33 Farnsworth Street,Boston,Massachusetts,2210,United States,Computer Software,450,Lead,,2022-12-21 11:47,2022-12-08 8:54,1,,,0,,,
39369275232,Wooster Community Hospital,wchosp.org,wchosp.org,,13302638100,,,,,,,3000,Contact,,,2025-09-11 13:33,2,,,0,,,
9658944090,Wittington Ventures,wittingtonventures.com,wittingtonventures.com,https://linkedin.com/company/wittington-ventures,,22 Saint Clair Avenue East,Toronto,Ontario,M1L 4T9,Canada,Venture Capital & Private Equity,10,Lead,,2023-02-08 11:27,2022-09-24 10:14,3,,,0,,,
43411138723,Williamson Health,williamsonhealth.org,williamsonhealth.org,https://linkedin.com/company/williamson-health,,4321 Carothers Parkway,Franklin,Tennessee,37067,United States,Hospital & Health Care,1500,Contact,,,2025-10-30 21:47,1,,New,,,,wmed.org
15994856307,White Star Capital,whitestarcapital.com,whitestarcapital.com,https://linkedin.com/company/white-star-capital,12392726030,19500 Vermont Avenue,Torrance,California,90502,United States,Venture Capital & Private Equity,30,Contact,Lisa Israelovitch,2023-06-15 9:30,2023-06-07 19:54,2,,,0,,,
35737210674,White Plains Hospital,wphospital.org,https://www.wphospital.org/,https://www.linkedin.com/company/whiteplainshospital,19146811201,41 East Post Road,White Plains,NY,10601,United States,Hospital & Health Care,5000,Lead,Lisa Israelovitch,2025-07-07 15:40,2025-02-26 10:21,6,,In Progress,0,,,
45777840767,West Virginia University Medicine,wvumedicine.org,wvumedicine.org,https://linkedin.com/company/wvumedicine,18669824278,1 Medical Center Drive,Morgantown,West Virginia,26505,United States,Hospital & Health Care,4299,Contact,Lisa Israelovitch,2025-09-30 20:15,2023-09-05 16:17,7,,New,0,,,hsc.wvu.edu
35018953324,West Tennessee Healthcare,wth.org,wth.org,https://linkedin.com/company/west-tennessee-healthcare,,620 Skyline Drive,Jackson,Tennessee,38301,United States,Hospital & Health Care,1750,Contact,Lisa Israelovitch,2025-06-13 9:30,2025-06-13 9:34,1,,New,0,,,
17745583200,WEST SUBURBAN HOSPITAL MEDICAL CENTER,westsubmc.com,westsubmc.com,https://linkedin.com/company/west-suburban-hospital-medical-center,7087636200,3 Erie Street,Oak Park,Illinois,60302,United States,Hospital & Health Care,10,Contact,Lisa Israelovitch,2023-11-16 21:11,2023-10-20 6:57,1,,New,0,,,
35590605629,Wellstar Health System,wellstar.org,wellstar.org,https://linkedin.com/company/wellstar-health-system, +1 470-644-0100,793 Sawyer Rd,Marietta,Georgia,30062,United States,Hospital & Health Care,7099,Contact,Greg Zenko,2025-08-20 14:24,2025-06-30 12:59,4,,New,0,,,
39351520351,WellSpan Health,wellspan.org,wellspan.org,https://linkedin.com/company/wellspan-health,17178515005,45 Monument Road,York,Pennsylvania,17403,United States,Hospital & Health Care,23000,Contact,,,2025-09-11 13:33,1,,New,0,,,
10051965325,Weglot,weglot.com,weglot.com,https://linkedin.com/company/weglot,12062664064,138 Rue Pierre Joigneaux,Bois-Colombes,Ile-de-France,92270,France,Online Media,75,Lead,,2022-11-14 9:23,2022-11-10 22:59,1,,,0,,,
14979224694,Web Summit,websummit.com,websummit.com,https://linkedin.com/company/web-summit, +353 1 443 3104,6 Dartry Road,Dublin 6,County Dublin,,Ireland,Events Services,455,Contact,,2023-03-12 21:40,2023-03-06 22:16,0,,,,,,
39400919825,Wayne State University,wayne.edu,wayne.edu,https://linkedin.com/company/wayne-state-university,13135772100,4809 Woodward Ave,Detroit,Michigan,48201,United States,Higher Education,6750,Contact,,,2025-09-11 13:33,1,,New,0,,,
49767125388,Wayne HealthCare (AKA Wayne Hospital),waynehealthcare.org,waynehealthcare.org,,,,,,,,,,Contact,,,2026-01-26 18:09,0,,New,,,,
10332380054,Wavemaker 360,wavemaker360.com,wavemaker360.com,https://www.linkedin.com/company/wavemaker360,,301 North Lake Avenue,Pasadena,California,91101,United States,Capital Markets,30,Lead,,2023-09-10 13:58,2022-12-12 15:57,5,,,0,,,
9912352901,Waterline Ventures,waterlineventures.com,waterlineventures.com,https://linkedin.com/company/waterline-ventures,6175765888,44 Brattle Street,Cambridge,Massachusetts,2138,United States,Venture Capital & Private Equity,5,Opportunity,Josh Buehler,2025-04-13 21:16,2022-10-26 20:14,3,1,,0,,,
42712396453,Wassenburg Medical,wassenburgmedical.com,wassenburgmedical.com,https://linkedin.com/company/wassenburg-medical-devices,,9 Edisonring,Dodewaard,Provincie Gelderland,6669 NA,The Netherlands,Medical Devices,330,Contact,Josh Buehler,,2025-10-27 11:46,1,,,0,,,
49776418153,Washington State Department of Social and Health Services,wa.gov,wa.gov,,,,,,,,,,Contact,,,2026-01-26 18:09,0,,New,,,,
49762480924,Washington County Hospital,wchonline.com,wchonline.com,,,,,,,,,,Contact,,,2026-01-26 18:09,0,,New,,,,
15548526902,Wardell Advisors llc,wardelladvisorsllc.com,wardelladvisorsllc.com,,,,,,,,,,Contact,Lisa Israelovitch,2023-05-04 7:28,2023-04-24 13:29,2,,,0,,,
39372706879,Ward Memorial Hospital,wardmemorial.com,wardmemorial.com,,,406 South Gary Avenue,Monahans,Texas,79756,United States,,75,Contact,,,2025-09-11 13:33,1,,,0,,,
39354775712,Walden University,waldenu.edu,waldenu.edu,https://linkedin.com/company/walden-university,18009253368,,Baltimore,Maryland,21240,United States,E-Learning,4250,Contact,,,2025-09-11 13:33,1,,New,0,,,
43385577803,WakeMed,wakemed.org,wakemed.org,https://linkedin.com/company/wakemed,19193508359,3000 New Bern Avenue,Raleigh,North Carolina,27601,United States,Hospital & Health Care,8000,Contact,Josh Buehler,,2025-10-30 19:02,1,,New,0,,,
17775944081,Volition Capital,volitioncapital.com,volitioncapital.com,https://linkedin.com/company/volition-capital,16178302100,800 Boylston Street,Boston,Massachusetts,2199,United States,Venture Capital & Private Equity,54,Contact,Lisa Israelovitch,,2023-10-23 16:23,1,,,0,,,
35606117661,Vizient,vizientinc.com,vizientinc.com,https://linkedin.com/company/vizient, +1 972-830-0000,290 E John Carpenter Fwy,Irving,Texas,75062,United States,Hospital & Health Care,6500,Contact,Lisa Israelovitch,2025-02-14 14:00,2025-02-26 10:21,3,,,0,,,
15649901911,Vivid Machines,vivid-machines.com,vivid-machines.com,https://linkedin.com/company/vivid-machines,,,Toronto,Ontario,,Canada,Industrial Automation,15,Contact,Lisa Israelovitch,,2023-05-03 18:55,1,,,0,,,
10205613473,ViVE Event,viveevent.com,viveevent.com,https://linkedin.com/company/theviveevent,,155 East 44th Street,New York,New York,10017,United States,Events Services,30,Lead,,2023-02-24 17:54,2022-11-29 23:01,1,,,0,,,
17745767332,Vitruvian Health,vitruvianhealth.com,hhcs.org,,17062726000,,,,,,,,Contact,Lisa Israelovitch,2023-10-25 13:27,2023-10-20 6:57,1,,New,0,,,hhcs.org
8727559180,Virtue,virtuevc.com,virtuevc.com,https://linkedin.com/company/virtuevc,,,Austin,Texas,73301,United States,Venture Capital & Private Equity,30,,,2022-05-26 10:21,2022-05-18 12:56,1,,,0,,,
8109917768,virtualcsuite,virtualcsuite.ca,virtualcsuite.ca,https://linkedin.com/company/virtualc-suite,,,,,,Canada,Professional Training & Coaching,5,,,,2022-03-05 21:48,1,,,0,,,
30417870152,Virtua Health,virtua.org,https://www.virtua.org,https://linkedin.com/company/virtuahealth,18888478823,303 Lippincott Dr,Marlton,New Jersey,8053,United States,Hospital & Health Care,8400,Contact,Lisa Israelovitch,,2025-02-26 10:21,3,,New,0,,,
9864051834,VirtaMed,virtamed.com,virtamed.com,https://linkedin.com/company/virtamed,41445009690,12 Rütistrasse,Schlieren,Kanton Zuerich,8952,Switzerland,Hospital & Health Care,100,Lead,,,2022-10-21 11:32,0,,,,,,
22863868530,Virginia Hospital & Healthcare Association,vhha.com,vhha.com,https://linkedin.com/company/virginia-hospital-and-healthcare-association,18049651352,4200 Innslake Drive,Glen Allen,Virginia,23060,United States,Hospital & Health Care,17,Contact,Lisa Israelovitch,,2024-09-09 11:53,1,,,0,,,
27602564498,Viam,viam.com,viam.com,https://linkedin.com/company/viaminc,,1900 Broadway,New York,New York,10023,United States,Information Technology and Services,150,Contact,Lisa Israelovitch,2025-07-04 16:20,2024-12-23 19:06,3,,,0,,,
49777502128,Veterans Memorial Hospital,veteransmemorialhospital.com,veteransmemorialhospital.com,,,,,,,,,,Contact,,,2026-01-26 18:09,0,,New,,,,
42875514231,Veterans Affairs,va.gov,va.gov,https://linkedin.com/company/department-of-veterans-affairs, +1 800-698-2411,810 Vermont Avenue Northwest,Washington,District of Columbia,20420,United States,Hospital & Health Care,350790,Contact,Josh Buehler,,2025-10-27 11:46,1,,New,0,,,
39368037138,VCU Health,vcuhealth.org,vcuhealth.org,https://linkedin.com/company/vcu-health-system,18048287929,1250 E. Marshall Street,Richmond,Virginia,23219,United States,Hospital & Health Care,11600,Contact,,,2025-09-11 13:33,2,,New,0,,,
9038806853,Varia Ventures,varia.com,varia.com,https://linkedin.com/company/varia-ventures, +1 410-536-1900,50 Fountain Plaza,Buffalo,New York,14202,United States,Venture Capital & Private Equity,10,,,2023-10-04 18:07,2022-07-02 10:30,4,,,0,,,
17364447606,Vantage Point Logistics,vantagepointlogistics.com,vantagepointlogistics.com,https://linkedin.com/company/vantage-point-logistics-inc,614-707-9751,1275 Kinnear Road,Columbus,Ohio,43212,United States,Transportation/Trucking/Railroad,30,Contact,Lisa Israelovitch,2025-12-18 16:00,2023-09-17 22:12,2,,,0,,,
30037819474,Vanderbilt Health Supply Chain Solutions,vanderbilthealthsupplychainsolutions.com,https://www.vanderbilthealthsupplychainsolutions.com,https://linkedin.com/company/vanderbilt-health-supply-chain-solutions,16159691383,500 Wilson Pike Circle,Brentwood,Tennessee,37027,United States,Hospital & Health Care,,Contact,Lisa Israelovitch,2025-03-17 21:46,2025-02-16 12:00,1,,New,1,2026-02-09 15:03,Learn more about AssistIQ and enter to win an Oura Ring: Demo Request,
42701440399,Vanderbilt Health,vumc.org,vumc.org,https://linkedin.com/company/vanderbilt-eye-institute,,21st S Ave,Nashville,Tennessee,37232,United States,Hospital & Health Care,75,Contact,Josh Buehler,2026-01-20 11:00,2025-10-27 11:46,9,,New,0,,,
45364471315,Vandalia Health,vandaliahealth.org,vandaliahealth.org,https://linkedin.com/company/vandalia-health,,1 East National Road,Vandalia,Ohio,45377,United States,Hospital & Health Care,10,Contact,Lisa Israelovitch,2025-10-30 19:12,2025-09-10 15:41,1,,New,0,,,vandaliahealth.com
42851334444,Valley Health System (New Jersey),valleyhealth.com,valleyhealth.com,https://linkedin.com/company/valley-health-system_2,,223 North Van Dien Avenue,Ridgewood,New Jersey,7450,United States,Hospital & Health Care,2750,Contact,Josh Buehler,,2025-10-27 11:46,3,,New,0,,,
42719199591,Valley Health (Virginia) ,valleyhealthlink.com,valleyhealthlink.com,https://linkedin.com/company/valley-health,15405366287,1840 Amherst St,Winchester,Virginia,22601,United States,Hospital & Health Care,6000,Contact,Josh Buehler,,2025-10-27 8:00,2,,New,0,,,
15282714170,Valence,valence.co,valence.co,https://linkedin.com/company/valenceteams,,733 3rd Avenue,New York,New York,10017,United States,Information Technology and Services,125,Contact,,2023-04-19 11:43,2023-03-24 12:48,1,,,0,,,
46917945452,Val Verde Regional Medical Center,vvrmc.org,vvrmc.org,,18444325391,801 North Bedell Avenue,Del Rio,Texas,78840,United States,Hospital & Health Care,240,Contact,,,2025-12-09 14:23,1,,,0,,,
39366794641,UW Health,uwhealth.org,uwhealth.org,https://linkedin.com/company/uw-health,16082638009,600 Highland Avenue,Madison,Wisconsin,53792,United States,Hospital & Health Care,10000,Opportunity,Amy Brown,2026-02-04 18:49,2025-09-11 13:33,6,1,Open Deal,0,,,
50571057592,UVA Health,uvahealth.org,http://uvahealth.org,,14349248718,1215 Lee St.,Charlottesville,VA,22903,,Hospital & Health Care,7150,Marketing Qualified Lead,Stephen Boswell,2026-02-06 11:55,2026-02-03 12:36,1,,,1,2026-02-03 12:36,Learn more about AssistIQ: Demo Request,
30418042466,UVA Health,uvahealth.com,https://www.uvahealth.com,https://linkedin.com/company/uva-health,18443770846,1215 Lee Street,Charlottesville,Virginia,22908,United States,Hospital & Health Care,7500,Contact,Lisa Israelovitch,,2025-02-26 10:21,1,,New,0,,,
35606116464,Urban Bonfire,urbanbonfire.ca,urbanbonfire.ca,https://www.linkedin.com/company/urban-bonfire, +1 514-932-8227,3700 RUE SAINT-PATRICK,Montréal,Quebec,H4E 1A2,Canada,Retail,50,,Lisa Israelovitch,2022-06-11 9:12,2022-05-17 15:20,2,,,0,,,urbanbonfire.com
39351988372,Upstate Medical University,upstate.edu,upstate.edu,https://linkedin.com/company/suny-upstate-medical-university-hospital,13154644570,,Syracuse,New York,13201,United States,Higher Education,676,Contact,Josh Buehler,,2025-09-11 13:33,5,,New,0,,,
50601554039,UPMC,upmc.com,http://www.upmc.com,http://www.linkedin.com/company/upmc,14126478762,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,United States,Hospital & Health Care,100000,Contact,Josh Buehler,,2026-02-03 17:30,1,,,,,,
46434352190,University of Washington,uw.edu,uw.edu,https://linkedin.com/school/university-of-washington,14253525000,,Tacoma,Washington,98401,United States,Higher Education,687,Contact,Lisa Israelovitch,2025-12-16 18:00,2025-12-02 18:20,2,,,0,,,
10846528130,University of Vermont Health,uvmhealth.org,uvmhealth.org,https://linkedin.com/company/the-university-of-vermont-health-network,18028478000,111 Colchester Avenue,Burlington,Vermont,5401,United States,Hospital & Health Care,10000,Sales Accepted Lead,Lisa Israelovitch,2025-11-24 10:42,2023-01-18 9:28,13,1,New,5,2025-04-24 8:22,2025 ORBM Webinar Registration: ORBM Webinar Form,med.uvm.edu
43197025552,University of Utah,utah.edu,utah.edu,https://linkedin.com/company/university-of-utah---employment,,201 Presidents Circle,Salt Lake City,Utah,84112,United States,Higher Education,4250,Contact,Josh Buehler,,2025-10-29 15:11,1,,New,1,2025-10-29 15:11,Coffee at Beckers: Pitchers - 2025,healthcare.utah.edu
17418938256,University of Texas System,utsystem.edu,utsystem.edu,https://linkedin.com/company/the-university-of-texas-system,15124994200,210 West 7th Street,Austin,Texas,78701,United States,Higher Education,116000,Contact,Lisa Israelovitch,2023-10-10 13:29,2023-09-22 9:33,1,,New,0,,,
39289178801,University of Texas Medical Branch,utmb.edu,utmb.edu,https://linkedin.com/company/utmb-school-of-health-professions,,301 University Boulevard,Galveston,Texas,77550,United States,Hospital & Health Care,120,Contact,Josh Buehler,2025-09-09 13:58,2025-09-09 13:58,1,,New,0,,,
30417465136,University of Tennessee Medical Center,utmedicalcenter.org,https://www.utmedicalcenter.org,https://linkedin.com/company/ut-medical-center,18653059000,1924 Alcoa Highway,Knoxville,Tennessee,37920,United States,Hospital & Health Care,4034,Contact,Lisa Israelovitch,2025-07-07 16:40,2025-02-26 10:21,1,,New,0,,,
39351988373,University of Southern California (USC),med.usc.edu,med.usc.edu,https://linkedin.com/school/keckschoolusc,12137405555,,Los Angeles,California,90001,United States,Higher Education,21320,Contact,,,2025-09-11 13:33,3,,New,0,,,chla.usc.edu; usc.edu; keck.usc.edu
12534969628,University of Rochester Medical Center,urmc.rochester.edu,urmc.rochester.edu,https://linkedin.com/company/university-of-rochester-medical-center,15852763000,500 Wilson Boulevard,Rochester,New York,14627,United States,Hospital & Health Care,10001,Contact,Josh Buehler,2024-02-25 20:56,2023-02-10 18:12,5,,New,0,,,rochester.edu
45363960225,University of Pittsburgh Medical Center (UPMC),upmc.edu,upmc.edu,https://linkedin.com/company/upmc-hillman-cancer-center,14126478762,225 S Center Ave.,Somerset,PA,15501,United States,Hospital & Health Care,570,Lead,Josh Buehler,2026-02-06 12:20,2025-08-06 7:21,7,,In Progress,1,2026-02-03 18:13,Learn more about AssistIQ: Demo Request,upmc.com
17314256281,University of Pavia,unipv.it,unipv.it,https://linkedin.com/school/university-of-pavia,390382984020,CORSO STRADA NUOVA 65,Pavia,Pavia,3111,Italy,Higher Education,981,Contact,Lisa Israelovitch,2023-09-16 4:47,2023-09-13 16:18,1,,New,0,,,
39213024624,University of Notre Dame,nd.edu,nd.edu,https://linkedin.com/school/university-of-notre-dame---mendoza-college-of-business,15746315000,201 Main Avenue,Notre Dame,Indiana,46556,United States,Higher Education,1500,Contact,Josh Buehler,2025-12-09 17:00,2025-09-05 16:27,3,,,1,2025-10-29 15:50,Request a demo: Demo Request,
39366332208,University of North Carolina at Chapel Hill,unchealth.unc.edu,unchealth.unc.edu,https://linkedin.com/school/university-of-north-carolina-at-chapel-hill,19199622211,,Chapel Hill,North Carolina,27514,United States,Hospital & Health Care,40000,Contact,Josh Buehler,2025-11-06 10:08,2025-09-11 13:33,4,,Connected,0,,,
36055357831,University of Missouri Health Care,health.missouri.edu,health.missouri.edu,https://linkedin.com/school/university-of-missouri, +1 207-556-0300,801 Conley Avenue,Columbia,Missouri,65211,United States,Higher Education,16907,Contact,Josh Buehler,2025-09-09 16:29,2025-07-11 18:03,2,,New,0,,,muhealth.org
40782673553,University of Minnesota,umn.edu,umn.edu,https://linkedin.com/school/university-of-minnesota-duluth,,,,Minnesota,,United States,Higher Education,3750,Contact,Josh Buehler,2025-10-15 19:01,2025-10-03 15:15,1,,Connected,0,,,
15042476347,University of Miami,med.miami.edu,med.miami.edu,https://linkedin.com/school/university-of-miami-miller-school-of-medicine,13052434255,1834 Southwest 27th Avenue,Miami,Florida,33145,United States,Higher Education,3000,Contact,,,2023-03-09 18:54,1,,New,0,,,
30416864125,University of Maryland Medical Center,umm.edu,https://www.umms.org,https://linkedin.com/company/university-of-maryland-medical-center, +1 800-492-5538,301 Hospital Dr.,Glen Burnie,MD,21061,Brazil,Hospital & Health Care,6500,Contact,Lisa Israelovitch,2026-02-06 12:27,2025-02-26 10:21,3,,New,1,2026-02-03 18:15,Learn more about AssistIQ: Demo Request,umm.edu
50601554040,University of Kentucky,uky.edu,https://uky.edu,http://www.linkedin.com/school/university-of-kentucky-college-of-law, +1 859-257-0200,620 S Limestone,Lexington,Kentucky,40508,United States,Higher Education,12000,Lead,Josh Buehler,,2026-02-03 17:30,1,,,0,,,
39343410711,University of Kansas Medical Center,kumc.edu,kumc.edu,, +1 913-588-5000,3901 Rainbow Boulevard,Kansas City,Kansas,66103,United States,Higher Education,4084,Contact,MacKenzie Masten,,2025-09-10 15:41,3,,New,0,,,
35455751778,University of Iowa,uiowa.edu,uiowa.edu,https://linkedin.com/school/university-of-iowa, +1 319-335-3500,,Iowa City,Iowa,52246,United States,Hospital & Health Care,2296,Contact,Greg Zenko,2025-09-29 6:23,2025-06-26 10:32,3,,New,0,,,uihc.org
30026396733,University of Illinois Hospital & Clinics,uillinois.edu,uillinois.edu,https://linkedin.com/company/universityofillinoisfoundation,,506 S Wright St,Urbana,Illinois,61801,United States,Hospital & Health Care,240,Lead,Lisa Israelovitch,2025-06-30 8:30,2025-02-16 12:00,5,,In Progress,0,,,
31287098373,University of Illinois Chicago,uic.edu,uic.edu,https://linkedin.com/company/uicompeoria,13124130003,1200 W Harrison St,Chicago,Illinois,60607,United States,Higher Education,12000,Lead,Lisa Israelovitch,2025-08-01 10:00,2025-03-21 15:41,5,1,Open Deal,0,,,
42875978306,University of Florida Health (UF Health),ufhealth.org,ufhealth.org,https://linkedin.com/company/uf-health, +1 352-265-0441,1600 Southwest Archer Road,Gainesville,Florida,32608,United States,Hospital & Health Care,4250,Contact,Josh Buehler,,2025-10-27 11:46,3,,New,0,,,
48946741867,University of Connecticut Health Center (UConn),uchc.edu,https://health.uconn.edu,,18606794713,,,Connecticut,,United States,Higher Education,2840,Opportunity,Stephen Boswell,2026-02-10 13:57,2026-01-13 14:16,5,1,New,1,2026-01-13 14:16,Request a demo: Demo Request,uconn.edu
15485372070,"University of California, Irvine",hs.uci.edu,hs.uci.edu,https://linkedin.com/school/uci-school-of-medicine,19498246703,100 Theory,Irvine,California,92602,United States,Higher Education,13000,Contact,Lisa Israelovitch,2023-06-16 11:00,2023-04-17 9:35,3,,New,0,,,
49755519892,University of Arkansas for Medical Sciences Health (AKA UAMS Health),uams.edu,uams.edu,,,"4301 W Markham St., Slot 722",Little Rock,AR,72205,,,,Contact,Stephen Boswell,2026-02-06 12:25,2026-01-26 18:09,1,,New,1,2026-02-03 18:14,Learn more about AssistIQ: Demo Request,
35611093029,University Hospitals,uhhospitals.org,uhhospitals.org,https://www.linkedin.com/company/university-hospitals, +1 866-844-2273,11100 Euclid Avenue,Cleveland,OH,44106,United States,Hospital & Health Care,10000,Lead,Greg Zenko,2025-10-30 18:00,2022-09-06 12:53,14,,In Progress,0,,,
10849677058,University Health Network,uhn.ca,uhn.ca,https://linkedin.com/company/university-health-network,14163403777,R Fraser Elliott Building 5th Fl 190 Elizabeth St,Toronto,Ontario,M5G 2C4,Canada,Hospital & Health Care,14990,Contact,,2023-05-04 11:50,2023-01-18 10:48,1,,New,0,,,
50094910387,University Health,universityhealth.com,universityhealth.com,https://linkedin.com/company/universityhealthsa,,4502 Medical Drive,San Antonio,Texas,78229,United States,Hospital & Health Care,3000,Contact,Mark Kelly,,2026-01-28 13:09,0,,New,,,,
39367648157,University Health,uhkc.org,uhkc.org,,18164048484,,,,,,Management Consulting,3000,Contact,,,2025-09-10 15:41,1,,New,0,,,universityhealthkc.org
8776602372,University at Buffalo Center for Entrepreneurial Leadership,buffalo.edu,buffalo.edu,https://linkedin.com/school/universityatbuffalo, +1 716-645-2000,701 Ellicott Street,Buffalo,New York,14203,United States,Higher Education,2509,Opportunity,Lisa Israelovitch,2023-12-20 9:00,2022-05-24 16:46,8,1,,0,,,
8691270675,Université de Montréal,umontreal.ca,umontreal.ca,https://linkedin.com/school/universite-de-montreal,15143436111,1700 Rue Jacques Tetreault,Montreal,Quebec,H3T 1J4,Canada,Higher Education,10652,,Lisa Israelovitch,2026-02-04 19:30,2022-05-13 13:17,5,,,0,,,
45363960222,Universal Health Services Inc,uhsinc.com,uhsinc.com,https://linkedin.com/company/uhs, +1 610-768-3300,367 South Gulph Road,King of Prussia,Pennsylvania,19406,United States,Hospital & Health Care,89000,Contact,Josh Buehler,,2025-09-10 15:41,2,,New,0,,,uhsinc.co
39362773646,UnityPoint Health,unitypoint.org,unitypoint.org,https://linkedin.com/company/unity-point-health,18338744243,1776 West Lakes Parkway,West Des Moines,Iowa,50266,United States,Hospital & Health Care,10000,Contact,,,2025-09-11 13:33,2,,New,0,,,
39356936578,Unity Physicians Hospital,unityphysicianshospital.com,unityphysicianshospital.com,,15742316800,4455 Edison Lakes Parkway,Mishawaka,Indiana,46545,United States,Hospital & Health Care,,Contact,,,2025-09-11 13:33,1,,,0,,,
38953818908,Unito,unito.io,unito.io,https://linkedin.com/company/unito,,3225 Rue de la Forge,Montreal,Quebec,H1Y 3J1,Canada,Information Technology and Services,150,Contact,Josh Buehler,2025-09-06 16:16,2025-08-29 9:41,1,,,0,,,
16368606836,United Surgical Partners International,uspi.com,uspi.com,https://linkedin.com/company/united-surgical-partners-international-inc,18008384427,15305 Dallas Pkwy,Addison,Texas,75001,United States,Hospital & Health Care,20000,Contact,Lisa Israelovitch,2023-07-05 14:17,2023-07-10 12:01,1,,New,0,,,
39396612112,United Musculoskeletal Partners,umpartners.com,umpartners.com,https://linkedin.com/company/united-muskuloskeletal-partners,,400 Perimeter Center Terrace,Atlanta,Georgia,30346,United States,"Health, Wellness and Fitness",180,Contact,,,2025-09-11 13:33,2,,,0,,,
49751993868,United Health Services,nyuhs.org,nyuhs.org,,,,,,,,,,Contact,,,2026-01-26 18:09,0,,New,,,,
49769281970,UNC Health (FKA UNC Health Care),unchealth.org,unchealth.org,,,,,,,,,,Contact,,,2026-01-26 18:09,0,,New,,,,
30408859927,UMC Health System,umchealthsystem.com,umchealthsystem.com,https://linkedin.com/company/umc-health-system,,602 Indiana Ave,Lubbock,Texas,79415,United States,Hospital & Health Care,2000,Contact,Lisa Israelovitch,,2025-02-26 10:21,3,,New,0,,,
14993149540,UMass Memorial Health,umassmemorial.org,umassmemorial.org,https://www.linkedin.com/company/umassmemorialhealth,15083341000,40 Wright St,Palmer,Massachusetts,1069,United States,Hospital & Health Care,6780,Lead,Lisa Israelovitch,2025-04-25 9:42,2023-03-07 18:08,8,1,In Progress,0,,,ummhealth.org
